show_id,type,title,title_Cleaned,director,director_Cleaned,cast,country,date_added,release_year,rating,duration,duration_minutes,duration_seasons,listed_in,description
s1034,TV Show,Show 1034,Show 1034,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,09-09-2019,2017,TV-MA,92 min,92,,Horror,Sample description of the show
s1035,Movie,Show 1035,Show 1035,John Smith,John Smith,"Actor A, Actor B, Actor C",Japan,25-10-2017,1983,TV-MA,154 min,154,,Drama,Sample description of the show
s1036,TV Show,Show 1036,Show 1036,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,03-07-2019,2015,TV-MA,5 Seasons,,5,Comedy,Sample description of the show
s1037,Movie,Show 1037,Show 1037,Raj Malhotra,Raj Malhotra,,South Korea,12-02-2022,2013,TV-MA,130 min,130,,Drama,Sample description of the show
s1038,TV Show,Show 1038,Show 1038,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,30-10-2018,2020,G,3 Seasons,,3,Romance,Sample description of the show
s1039,TV Show,Show 1039,Show 1039,,,,India,21-07-2020,2013,PG,134 min,134,,Drama,Sample description of the show
s1040,TV Show,Show 1040,Show 1040,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",India,05-01-2023,2012,TV-PG,121 min,121,,Documentary,Sample description of the show
s1041,Movie,Show 1041,Show 1041,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United Kingdom,10-07-2016,2015,TV-MA,117 min,117,,Documentary,Sample description of the show
s1042,TV Show,Show 1042,Show 1042,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,08-10-2015,2019,G,80 min,80,,Comedy,Sample description of the show
s1043,TV Show,Show 1043,Show 1043,,,"Actor A, Actor B, Actor C",South Korea,03-11-2016,2000,TV-MA,86 min,86,,Documentary,Sample description of the show
s1044,Movie,Show 1044,Show 1044,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,08-01-2020,2003,TV-14,4 Seasons,,4,Drama,Sample description of the show
s1045,TV Show,Show 1045,Show 1045,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",,08-09-2021,2000,PG,3 Seasons,,3,Documentary,Sample description of the show
s1046,TV Show,Show 1046,Show 1046,,,"Actor A, Actor B, Actor C",United Kingdom,16-01-2021,2021,G,167 min,167,,Documentary,Sample description of the show
s1047,Movie,Show 1047,Show 1047,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,15-02-2021,2007,PG-13,83 min,83,,Action,Sample description of the show
s1048,Movie,Show 1048,Show 1048,,,"Actor A, Actor B, Actor C",United States,30-10-2022,2016,PG-13,4 Seasons,,4,Comedy,Sample description of the show
s1049,TV Show,Show 1049,Show 1049,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United States,02-01-2023,1985,,151 min,151,,Action,Sample description of the show
s1050,TV Show,Show 1050,Show 1050,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,21-06-2019,1986,TV-PG,105 min,105,,Comedy,Sample description of the show
s1051,TV Show,Show 1051,Show 1051,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,28-04-2016,1981,PG,177 min,177,,Documentary,Sample description of the show
s1052,Movie,Show 1052,Show 1052,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,15-01-2021,2009,TV-14,89 min,89,,Comedy,Sample description of the show
s1053,TV Show,Show 1053,Show 1053,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,03-02-2021,1987,TV-MA,102 min,102,,Documentary,Sample description of the show
s1054,TV Show,Show 1054,Show 1054,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",South Korea,23-10-2019,1993,R,118 min,118,,Horror,Sample description of the show
s1055,Movie,Show 1055,Show 1055,Raj Malhotra,Raj Malhotra,,South Korea,16-01-2019,2011,TV-MA,103 min,103,,Action,Sample description of the show
s1056,TV Show,Show 1056,Show 1056,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United Kingdom,23-08-2020,2010,PG,94 min,94,,Drama,Sample description of the show
s1057,TV Show,Show 1057,Show 1057,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,01-01-2017,2000,R,5 Seasons,,5,Action,Sample description of the show
s1058,TV Show,Show 1058,Show 1058,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Canada,02-11-2020,1986,R,136 min,136,,Romance,Sample description of the show
s1059,Movie,Show 1059,Show 1059,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,14-11-2021,2001,R,146 min,146,,Action,Sample description of the show
s1060,Movie,Show 1060,Show 1060,John Smith,John Smith,"Actor A, Actor B, Actor C",,13-02-2020,1991,PG,8 Seasons,,8,Romance,Sample description of the show
s1061,Movie,Show 1061,Show 1061,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,25-06-2020,2023,G,103 min,103,,Documentary,Sample description of the show
s1062,Movie,Show 1062,Show 1062,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,23-04-2015,2000,TV-PG,119 min,119,,Drama,Sample description of the show
s1063,Movie,Show 1063,Show 1063,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,07-07-2016,1987,TV-14,113 min,113,,Comedy,Sample description of the show
s1064,TV Show,Show 1064,Show 1064,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,08-10-2019,1986,PG-13,136 min,136,,Action,Sample description of the show
s1065,Movie,Show 1065,Show 1065,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,08-02-2021,1989,TV-PG,113 min,113,,Romance,Sample description of the show
s1066,TV Show,Show 1066,Show 1066,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,06-11-2020,2011,TV-PG,1 Seasons,,1,Thriller,Sample description of the show
s1067,Movie,Show 1067,Show 1067,Raj Malhotra,Raj Malhotra,,Japan,13-05-2016,2009,TV-14,148 min,148,,Thriller,Sample description of the show
s1068,Movie,Show 1068,Show 1068,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,07-08-2022,2008,PG,177 min,177,,Comedy,Sample description of the show
s1069,TV Show,Show 1069,Show 1069,,,"Actor A, Actor B, Actor C",Japan,16-10-2020,2002,TV-MA,80 min,80,,Thriller,Sample description of the show
s1070,TV Show,Show 1070,Show 1070,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",South Korea,18-05-2016,2016,PG-13,148 min,148,,Comedy,Sample description of the show
s1071,TV Show,Show 1071,Show 1071,John Smith,John Smith,"Actor A, Actor B, Actor C",Japan,07-02-2023,2010,PG-13,7 Seasons,,7,Drama,Sample description of the show
s1072,TV Show,Show 1072,Show 1072,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,13-12-2016,2004,G,3 Seasons,,3,Thriller,Sample description of the show
s1073,TV Show,Show 1073,Show 1073,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United States,02-04-2018,1997,TV-MA,5 Seasons,,5,Documentary,Sample description of the show
s1074,TV Show,Show 1074,Show 1074,,,"Actor A, Actor B, Actor C",Canada,02-07-2019,2001,TV-MA,172 min,172,,Documentary,Sample description of the show
s1075,Movie,Show 1075,Show 1075,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Japan,25-03-2016,2002,TV-PG,107 min,107,,Drama,Sample description of the show
s1076,TV Show,Show 1076,Show 1076,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,13-01-2015,2012,TV-PG,7 Seasons,,7,Action,Sample description of the show
s1077,Movie,Show 1077,Show 1077,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Canada,09-10-2015,1984,TV-14,134 min,134,,Comedy,Sample description of the show
s1078,TV Show,Show 1078,Show 1078,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,19-06-2021,2010,PG,138 min,138,,Romance,Sample description of the show
s1079,TV Show,Show 1079,Show 1079,,,"Actor A, Actor B, Actor C",Japan,,2007,G,154 min,154,,Action,Sample description of the show
s1080,Movie,Show 1080,Show 1080,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,22-11-2020,1988,TV-MA,165 min,165,,Romance,Sample description of the show
s1081,TV Show,Show 1081,Show 1081,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,08-01-2019,1988,TV-14,8 Seasons,,8,Romance,Sample description of the show
s1082,Movie,Show 1082,Show 1082,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,03-06-2022,1990,TV-PG,1 Seasons,,1,Horror,Sample description of the show
s1083,TV Show,Show 1083,Show 1083,,,"Actor A, Actor B, Actor C",South Korea,22-08-2015,1999,TV-MA,86 min,86,,Thriller,Sample description of the show
s1084,Movie,Show 1084,Show 1084,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,27-12-2018,1980,TV-MA,112 min,112,,Horror,Sample description of the show
s1085,Movie,Show 1085,Show 1085,,,"Actor A, Actor B, Actor C",South Korea,26-11-2020,2003,PG,156 min,156,,Romance,Sample description of the show
s1086,Movie,Show 1086,Show 1086,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,27-04-2017,1980,PG,177 min,177,,Drama,Sample description of the show
s1087,TV Show,Show 1087,Show 1087,Raj Malhotra,Raj Malhotra,,South Korea,18-06-2020,2005,R,5 Seasons,,5,Drama,Sample description of the show
s1088,Movie,Show 1088,Show 1088,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,27-10-2016,1985,R,115 min,115,,Horror,Sample description of the show
s1089,Movie,Show 1089,Show 1089,,,"Actor A, Actor B, Actor C",Japan,22-12-2015,1998,G,88 min,88,,Romance,Sample description of the show
s1090,Movie,Show 1090,Show 1090,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,09-04-2018,1990,TV-PG,175 min,175,,Thriller,Sample description of the show
s1091,Movie,Show 1091,Show 1091,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,03-02-2019,2012,R,3 Seasons,,3,Action,Sample description of the show
s1092,TV Show,Show 1092,Show 1092,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,30-06-2020,2017,PG-13,2 Seasons,,2,Horror,Sample description of the show
s1093,Movie,Show 1093,Show 1093,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,08-11-2021,1981,G,4 Seasons,,4,Comedy,Sample description of the show
s1094,TV Show,Show 1094,Show 1094,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,23-01-2021,1994,PG,8 Seasons,,8,Drama,Sample description of the show
s1095,TV Show,SHOW 1095,Show 1095,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,04-04-2022,2007,TV-14,125 min,125,,Comedy,Sample description of the show
s1096,TV Show,Show 1096,Show 1096,,,"Actor A, Actor B, Actor C",United States,22-04-2015,1986,R,103 min,103,,Action,Sample description of the show
s1097,TV Show,Show 1097,Show 1097,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,26-02-2015,1982,TV-PG,88 min,88,,Drama,Sample description of the show
s1098,TV Show,Show 1098,Show 1098,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,05-04-2019,2011,R,98 min,98,,Documentary,Sample description of the show
s1099,Movie,Show 1099,Show 1099,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,06-10-2016,1984,R,3 Seasons,,3,Romance,Sample description of the show
s1100,TV Show,Show 1100,Show 1100,,,"Actor A, Actor B, Actor C",India,08-04-2021,1984,TV-MA,93 min,93,,Thriller,Sample description of the show
s1101,Movie,Show 1101,Show 1101,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,16-09-2021,1994,TV-PG,150 min,150,,Thriller,Sample description of the show
s1102,Movie,Show 1102,Show 1102,Anita Desai,Anita Desai,,South Korea,,2000,TV-PG,125 min,125,,Drama,Sample description of the show
s1103,Movie,Show 1103,Show 1103,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,26-06-2017,2013,TV-14,82 min,82,,Documentary,Sample description of the show
s1104,Movie,Show 1104,Show 1104,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Japan,30-11-2018,2012,TV-PG,154 min,154,,Comedy,Sample description of the show
s1105,Movie,Show 1105,Show 1105,,,"Actor A, Actor B, Actor C",,21-06-2021,1998,G,7 Seasons,,7,Action,Sample description of the show
s1106,Movie,Show 1106,Show 1106,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,05-10-2021,1981,G,101 min,101,,Romance,Sample description of the show
s1107,TV Show,Show 1107,Show 1107,John Smith,John Smith,"Actor A, Actor B, Actor C",India,11-07-2021,1996,TV-PG,81 min,81,,Comedy,Sample description of the show
s1108,TV Show,Show 1108,Show 1108,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,26-07-2022,2016,R,102 min,102,,Comedy,Sample description of the show
s1109,TV Show,Show 1109,Show 1109,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,23-05-2015,2004,TV-PG,154 min,154,,Thriller,Sample description of the show
s1110,Movie,Show 1110,Show 1110,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",,03-07-2019,2008,R,146 min,146,,Drama,Sample description of the show
s1111,TV Show,Show 1111,Show 1111,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,22-08-2015,1980,TV-MA,2 Seasons,,2,Romance,Sample description of the show
s1112,TV Show,Show 1112,Show 1112,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,02-02-2017,2001,TV-PG,2 Seasons,,2,Comedy,Sample description of the show
s1113,Movie,Show 1113,Show 1113,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,01-09-2016,2001,TV-MA,8 Seasons,,8,Comedy,Sample description of the show
s1114,Movie,Show 1114,Show 1114,,,"Actor A, Actor B, Actor C",South Korea,08-05-2016,1990,PG-13,168 min,168,,Action,Sample description of the show
s1115,Movie,Show 1115,Show 1115,John Smith,John Smith,"Actor A, Actor B, Actor C",India,02-09-2017,1986,TV-PG,95 min,95,,Horror,Sample description of the show
s1116,TV Show,Show 1116,Show 1116,Raj Malhotra,Raj Malhotra,,Canada,07-02-2020,1992,PG-13,81 min,81,,Comedy,Sample description of the show
s1117,Movie,Show 1117,Show 1117,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,18-09-2022,2022,R,3 Seasons,,3,Comedy,Sample description of the show
s1118,TV Show,Show 1118,Show 1118,,,"Actor A, Actor B, Actor C",United States,22-08-2015,2015,G,8 Seasons,,8,Horror,Sample description of the show
s1119,Movie,Show 1119,Show 1119,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United States,05-02-2021,2002,TV-PG,132 min,132,,Documentary,Sample description of the show
s1120,TV Show,Show 1120,Show 1120,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,07-07-2020,1994,TV-MA,7 Seasons,,7,Romance,Sample description of the show
s1121,Movie,Show 1121,Show 1121,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,18-05-2018,1996,TV-PG,121 min,121,,Action,Sample description of the show
s1122,TV Show,Show 1122,Show 1122,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,02-10-2016,1983,PG,85 min,85,,Thriller,Sample description of the show
s1123,TV Show,SHOW 1123,Show 1123,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,02-11-2018,2017,,7 Seasons,,7,Romance,Sample description of the show
s1124,TV Show,Show 1124,Show 1124,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,28-05-2017,1986,PG-13,121 min,121,,Thriller,Sample description of the show
s1125,TV Show,Show 1125,Show 1125,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,30-07-2022,1981,TV-PG,161 min,161,,Thriller,Sample description of the show
s1126,TV Show,SHOW 1126,Show 1126,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,24-09-2015,2023,,147 min,147,,Action,Sample description of the show
s1127,TV Show,Show 1127,Show 1127,,,"Actor A, Actor B, Actor C",United States,02-06-2021,1982,R,1 Seasons,,1,Thriller,Sample description of the show
s1128,Movie,Show 1128,Show 1128,,,"Actor A, Actor B, Actor C",United Kingdom,,2019,PG-13,85 min,85,,Thriller,Sample description of the show
s1129,TV Show,Show 1129,Show 1129,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,09-12-2017,1985,TV-14,160 min,160,,Romance,Sample description of the show
s1130,Movie,Show 1130,Show 1130,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,18-07-2022,1991,,155 min,155,,Drama,Sample description of the show
s1131,TV Show,Show 1131,Show 1131,John Smith,John Smith,"Actor A, Actor B, Actor C",,10-02-2018,1980,PG,93 min,93,,Romance,Sample description of the show
s1132,Movie,Show 1132,Show 1132,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,18-08-2017,1985,TV-PG,125 min,125,,Horror,Sample description of the show
s1133,TV Show,Show 1133,Show 1133,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,16-11-2016,1994,PG-13,86 min,86,,Comedy,Sample description of the show
s1134,TV Show,Show 1134,Show 1134,,,,South Korea,23-01-2017,1980,PG-13,165 min,165,,Thriller,Sample description of the show
s1135,TV Show,Show 1135,Show 1135,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,17-01-2018,2010,G,96 min,96,,Documentary,Sample description of the show
s1136,Movie,Show 1136,Show 1136,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,24-04-2016,2004,TV-PG,167 min,167,,Comedy,Sample description of the show
s1137,TV Show,Show 1137,Show 1137,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",India,04-07-2021,2004,G,7 Seasons,,7,Comedy,Sample description of the show
s1138,Movie,SHOW 1138,Show 1138,Anita Desai,Anita Desai,,South Korea,27-01-2016,2008,R,138 min,138,,Comedy,Sample description of the show
s1139,Movie,Show 1139,Show 1139,,,"Actor A, Actor B, Actor C",India,16-05-2019,2017,PG-13,8 Seasons,,8,Romance,Sample description of the show
s1140,Movie,Show 1140,Show 1140,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United States,20-03-2015,2007,PG,168 min,168,,Thriller,Sample description of the show
s1141,Movie,Show 1141,Show 1141,Anita Desai,Anita Desai,,,12-11-2017,2001,TV-MA,105 min,105,,Documentary,Sample description of the show
s1142,Movie,Show 1142,Show 1142,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,30-07-2018,2023,TV-PG,3 Seasons,,3,Horror,Sample description of the show
s1143,Movie,Show 1143,Show 1143,Anita Desai,Anita Desai,,India,07-03-2017,1986,R,176 min,176,,Drama,Sample description of the show
s1144,Movie,Show 1144,Show 1144,John Smith,John Smith,"Actor A, Actor B, Actor C",Canada,23-02-2020,1986,TV-14,155 min,155,,Drama,Sample description of the show
s1145,Movie,Show 1145,Show 1145,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United States,22-02-2021,1999,,154 min,154,,Romance,Sample description of the show
s1146,TV Show,Show 1146,Show 1146,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,05-04-2019,2016,TV-MA,131 min,131,,Action,Sample description of the show
s1147,TV Show,Show 1147,Show 1147,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",,31-10-2020,2016,PG-13,143 min,143,,Romance,Sample description of the show
s1148,TV Show,Show 1148,Show 1148,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,26-05-2019,2010,TV-PG,96 min,96,,Drama,Sample description of the show
s1149,TV Show,Show 1149,Show 1149,John Smith,John Smith,"Actor A, Actor B, Actor C",Japan,18-07-2015,2014,TV-14,151 min,151,,Documentary,Sample description of the show
s1150,Movie,Show 1150,Show 1150,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",India,17-09-2017,2017,TV-14,143 min,143,,Romance,Sample description of the show
s1151,Movie,Show 1151,Show 1151,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United States,17-07-2019,2007,TV-14,107 min,107,,Romance,Sample description of the show
s1152,Movie,Show 1152,Show 1152,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Japan,31-05-2015,2012,TV-14,157 min,157,,Action,Sample description of the show
s1153,Movie,Show 1153,Show 1153,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,18-07-2016,1991,TV-PG,4 Seasons,,4,Horror,Sample description of the show
s1154,Movie,Show 1154,Show 1154,,,"Actor A, Actor B, Actor C",India,09-02-2022,1995,TV-14,97 min,97,,Drama,Sample description of the show
s1155,Movie,Show 1155,Show 1155,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,14-04-2015,2016,TV-MA,6 Seasons,,6,Thriller,Sample description of the show
s1156,Movie,Show 1156,Show 1156,Anita Desai,Anita Desai,,United States,08-06-2019,2009,TV-14,2 Seasons,,2,Action,Sample description of the show
s1157,Movie,Show 1157,Show 1157,John Smith,John Smith,,United Kingdom,13-04-2015,2016,PG,3 Seasons,,3,Action,Sample description of the show
s1158,Movie,Show 1158,Show 1158,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,21-08-2019,2007,PG,5 Seasons,,5,Documentary,Sample description of the show
s1159,TV Show,Show 1159,Show 1159,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",India,21-08-2019,1999,PG-13,163 min,163,,Horror,Sample description of the show
s1160,TV Show,Show 1160,Show 1160,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,09-09-2016,2004,TV-14,4 Seasons,,4,Romance,Sample description of the show
s1161,Movie,Show 1161,Show 1161,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Japan,27-06-2021,2008,PG-13,5 Seasons,,5,Thriller,Sample description of the show
s1162,Movie,Show 1162,Show 1162,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United States,07-01-2023,2002,TV-MA,134 min,134,,Drama,Sample description of the show
s1163,TV Show,Show 1163,Show 1163,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,13-04-2022,1990,TV-PG,111 min,111,,Drama,Sample description of the show
s1164,TV Show,Show 1164,Show 1164,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Japan,27-04-2018,1995,PG,87 min,87,,Comedy,Sample description of the show
s1165,Movie,Show 1165,Show 1165,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,04-02-2015,2012,R,3 Seasons,,3,Thriller,Sample description of the show
s1166,TV Show,Show 1166,Show 1166,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,27-11-2015,2014,TV-PG,86 min,86,,Action,Sample description of the show
s1167,TV Show,Show 1167,Show 1167,,,"Actor A, Actor B, Actor C",Canada,16-04-2020,1982,R,147 min,147,,Comedy,Sample description of the show
s1168,Movie,Show 1168,Show 1168,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United Kingdom,28-11-2020,1999,TV-14,110 min,110,,Romance,Sample description of the show
s1169,TV Show,Show 1169,Show 1169,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",India,10-11-2016,2017,TV-PG,164 min,164,,Horror,Sample description of the show
s1170,TV Show,Show 1170,Show 1170,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,07-04-2021,2000,PG,119 min,119,,Documentary,Sample description of the show
s1171,Movie,Show 1171,Show 1171,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,23-12-2019,1982,TV-PG,8 Seasons,,8,Thriller,Sample description of the show
s1172,Movie,Show 1172,Show 1172,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,15-05-2019,2011,TV-MA,4 Seasons,,4,Documentary,Sample description of the show
s1173,Movie,Show 1173,Show 1173,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",,05-02-2021,2022,G,5 Seasons,,5,Horror,Sample description of the show
s1174,TV Show,Show 1174,Show 1174,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United States,20-02-2017,1982,PG,165 min,165,,Action,Sample description of the show
s1175,Movie,Show 1175,Show 1175,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,25-03-2020,2012,,7 Seasons,,7,Romance,Sample description of the show
s1176,Movie,Show 1176,Show 1176,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,12-11-2016,1981,TV-14,151 min,151,,Action,Sample description of the show
s1177,Movie,Show 1177,Show 1177,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,01-10-2015,1999,G,135 min,135,,Drama,Sample description of the show
s1178,TV Show,Show 1178,Show 1178,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",South Korea,09-04-2017,1983,TV-PG,114 min,114,,Action,Sample description of the show
s1179,Movie,Show 1179,Show 1179,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,01-05-2015,2006,PG-13,6 Seasons,,6,Documentary,Sample description of the show
s1180,Movie,Show 1180,Show 1180,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,14-05-2017,2002,R,6 Seasons,,6,Romance,Sample description of the show
s1181,Movie,Show 1181,Show 1181,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Japan,09-09-2022,2008,PG-13,4 Seasons,,4,Horror,Sample description of the show
s1182,Movie,SHOW 1182,Show 1182,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",India,18-02-2021,2019,TV-14,114 min,114,,Documentary,Sample description of the show
s1183,TV Show,Show 1183,Show 1183,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,14-05-2017,2011,G,4 Seasons,,4,Horror,Sample description of the show
s1184,Movie,Show 1184,Show 1184,,,"Actor A, Actor B, Actor C",South Korea,30-11-2019,1990,PG,1 Seasons,,1,Horror,Sample description of the show
s1185,Movie,Show 1185,Show 1185,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",India,21-12-2016,1991,PG-13,8 Seasons,,8,Romance,Sample description of the show
s1186,Movie,SHOW 1186,Show 1186,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,10-07-2018,2021,R,7 Seasons,,7,Action,Sample description of the show
s1187,TV Show,SHOW 1187,Show 1187,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,02-11-2015,2021,,136 min,136,,Romance,Sample description of the show
s1188,TV Show,Show 1188,Show 1188,,,"Actor A, Actor B, Actor C",India,04-12-2017,1997,G,152 min,152,,Action,Sample description of the show
s1189,Movie,Show 1189,Show 1189,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Canada,17-01-2015,1997,PG-13,139 min,139,,Horror,Sample description of the show
s1190,TV Show,Show 1190,Show 1190,,,"Actor A, Actor B, Actor C",Japan,21-12-2015,2010,PG,125 min,125,,Action,Sample description of the show
s1191,Movie,Show 1191,Show 1191,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,02-04-2019,2012,TV-MA,2 Seasons,,2,Comedy,Sample description of the show
s1192,TV Show,Show 1192,Show 1192,Anita Desai,Anita Desai,,United States,19-02-2019,2015,TV-14,146 min,146,,Documentary,Sample description of the show
